date,end,open,high,low,plusminus
2019-04-19,"1,158.90","1,135.92","1,166.29","1,135.49",1.96%
2019-04-26,"1,164.33","1,158.64","1,172.43","1,156.90",0.47%
2019-05-03,"1,175.20","1,164.34","1,186.36","1,164.33",0.93%
2019-05-10,"1,194.73","1,175.20","1,196.86","1,175.20",1.66%
2019-05-17,"1,185.77","1,195.11","1,197.60","1,185.53",-0.75%
2019-05-24,"1,188.80","1,186.20","1,197.10","1,182.65",0.26%
2019-05-31,"1,182.07","1,188.80","1,191.80","1,173.90",-0.57%
2019-06-07,"1,186.88","1,180.94","1,187.86","1,177.60",0.41%
2019-06-14,"1,159.20","1,186.89","1,188.77","1,156.57",-2.33%
2019-06-21,"1,156.38","1,159.58","1,162.00","1,152.40",-0.24%
2019-06-28,"1,175.02","1,155.86","1,175.68","1,148.83",1.61%
2019-07-05,"1,177.32","1,175.48","1,185.17","1,170.63",0.20%
2019-07-12,"1,176.11","1,177.68","1,184.52","1,170.39",-0.10%
2019-07-19,"1,184.24","1,176.11","1,187.12","1,175.20",0.69%
2019-07-26,"1,204.61","1,183.21","1,207.09","1,178.50",1.72%
2019-08-02,"1,214.45","1,205.82","1,221.29","1,203.00",0.82%
2019-08-09,"1,208.47","1,214.72","1,224.96","1,205.50",-0.49%
2019-08-16,"1,213.66","1,208.49","1,217.93","1,199.50",0.43%
2019-08-23,"1,210.50","1,213.65","1,221.50","1,206.99",-0.26%
2019-08-30,"1,192.77","1,210.05","1,217.80","1,189.80",-1.46%
2019-09-06,"1,179.72","1,192.87","1,195.88","1,175.75",-1.09%
2019-09-13,"1,194.13","1,181.80","1,198.00","1,181.80",1.22%
2019-09-20,"1,202.99","1,194.14","1,204.02","1,191.00",0.74%
2019-09-27,"1,192.25","1,203.18","1,207.89","1,191.85",-0.89%
2019-10-04,"1,183.48","1,192.30","1,202.08","1,178.29",-0.74%
2019-10-11,"1,178.91","1,183.40","1,191.32","1,175.68",-0.39%
2019-10-18,"1,171.82","1,178.65","1,180.56","1,167.06",-0.60%
2019-10-25,"1,164.80","1,171.23","1,171.33","1,158.93",-0.60%
2019-11-01,"1,158.76","1,164.53","1,164.53","1,152.27",-0.52%
